PING 75.75.76.76 (75.75.76.76) 56(84) bytes of data.
64 bytes from 75.75.76.76: icmp_seq=1 ttl=53 time=76.5 ms
64 bytes from 75.75.76.76: icmp_seq=2 ttl=53 time=69.2 ms
64 bytes from 75.75.76.76: icmp_seq=3 ttl=53 time=69.3 ms
64 bytes from 75.75.76.76: icmp_seq=4 ttl=53 time=60.7 ms
64 bytes from 75.75.76.76: icmp_seq=5 ttl=53 time=64.9 ms
64 bytes from 75.75.76.76: icmp_seq=6 ttl=53 time=64.0 ms
64 bytes from 75.75.76.76: icmp_seq=7 ttl=53 time=73.1 ms
64 bytes from 75.75.76.76: icmp_seq=8 ttl=53 time=59.9 ms
64 bytes from 75.75.76.76: icmp_seq=9 ttl=53 time=58.6 ms
64 bytes from 75.75.76.76: icmp_seq=10 ttl=53 time=49.2 ms
64 bytes from 75.75.76.76: icmp_seq=11 ttl=53 time=47.5 ms
64 bytes from 75.75.76.76: icmp_seq=12 ttl=53 time=52.6 ms
64 bytes from 75.75.76.76: icmp_seq=13 ttl=53 time=49.2 ms
64 bytes from 75.75.76.76: icmp_seq=14 ttl=53 time=49.1 ms
64 bytes from 75.75.76.76: icmp_seq=15 ttl=53 time=47.0 ms
64 bytes from 75.75.76.76: icmp_seq=16 ttl=53 time=77.9 ms
64 bytes from 75.75.76.76: icmp_seq=17 ttl=53 time=55.3 ms
64 bytes from 75.75.76.76: icmp_seq=18 ttl=53 time=75.5 ms
64 bytes from 75.75.76.76: icmp_seq=19 ttl=53 time=51.4 ms
64 bytes from 75.75.76.76: icmp_seq=20 ttl=53 time=51.1 ms
64 bytes from 75.75.76.76: icmp_seq=21 ttl=53 time=96.6 ms
64 bytes from 75.75.76.76: icmp_seq=22 ttl=53 time=52.4 ms
64 bytes from 75.75.76.76: icmp_seq=23 ttl=53 time=62.8 ms
64 bytes from 75.75.76.76: icmp_seq=24 ttl=53 time=62.8 ms
64 bytes from 75.75.76.76: icmp_seq=25 ttl=53 time=81.3 ms
64 bytes from 75.75.76.76: icmp_seq=26 ttl=53 time=58.5 ms
64 bytes from 75.75.76.76: icmp_seq=27 ttl=53 time=91.7 ms
64 bytes from 75.75.76.76: icmp_seq=28 ttl=53 time=53.9 ms
64 bytes from 75.75.76.76: icmp_seq=29 ttl=53 time=74.3 ms
64 bytes from 75.75.76.76: icmp_seq=30 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=31 ttl=53 time=46.4 ms
64 bytes from 75.75.76.76: icmp_seq=32 ttl=53 time=47.3 ms
64 bytes from 75.75.76.76: icmp_seq=33 ttl=53 time=45.1 ms
64 bytes from 75.75.76.76: icmp_seq=34 ttl=53 time=63.6 ms
64 bytes from 75.75.76.76: icmp_seq=35 ttl=53 time=74.5 ms
64 bytes from 75.75.76.76: icmp_seq=36 ttl=53 time=72.2 ms
64 bytes from 75.75.76.76: icmp_seq=37 ttl=53 time=70.4 ms
64 bytes from 75.75.76.76: icmp_seq=38 ttl=53 time=68.2 ms
64 bytes from 75.75.76.76: icmp_seq=39 ttl=53 time=65.6 ms
64 bytes from 75.75.76.76: icmp_seq=40 ttl=53 time=53.1 ms
64 bytes from 75.75.76.76: icmp_seq=41 ttl=53 time=50.7 ms
64 bytes from 75.75.76.76: icmp_seq=42 ttl=53 time=55.7 ms
64 bytes from 75.75.76.76: icmp_seq=43 ttl=53 time=46.7 ms
64 bytes from 75.75.76.76: icmp_seq=44 ttl=53 time=54.7 ms
64 bytes from 75.75.76.76: icmp_seq=45 ttl=53 time=70.3 ms
64 bytes from 75.75.76.76: icmp_seq=46 ttl=53 time=67.5 ms
64 bytes from 75.75.76.76: icmp_seq=47 ttl=53 time=49.6 ms
64 bytes from 75.75.76.76: icmp_seq=48 ttl=53 time=51.6 ms
64 bytes from 75.75.76.76: icmp_seq=49 ttl=53 time=47.1 ms
64 bytes from 75.75.76.76: icmp_seq=50 ttl=53 time=56.5 ms
64 bytes from 75.75.76.76: icmp_seq=51 ttl=53 time=74.3 ms
64 bytes from 75.75.76.76: icmp_seq=52 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=53 ttl=53 time=49.0 ms
64 bytes from 75.75.76.76: icmp_seq=54 ttl=53 time=63.2 ms
64 bytes from 75.75.76.76: icmp_seq=55 ttl=53 time=68.1 ms
64 bytes from 75.75.76.76: icmp_seq=56 ttl=53 time=64.7 ms
64 bytes from 75.75.76.76: icmp_seq=57 ttl=53 time=64.7 ms
64 bytes from 75.75.76.76: icmp_seq=58 ttl=53 time=49.2 ms
64 bytes from 75.75.76.76: icmp_seq=59 ttl=53 time=60.4 ms
64 bytes from 75.75.76.76: icmp_seq=60 ttl=53 time=55.9 ms
64 bytes from 75.75.76.76: icmp_seq=61 ttl=53 time=56.3 ms
64 bytes from 75.75.76.76: icmp_seq=62 ttl=53 time=56.8 ms
64 bytes from 75.75.76.76: icmp_seq=63 ttl=53 time=55.4 ms
64 bytes from 75.75.76.76: icmp_seq=64 ttl=53 time=55.5 ms
64 bytes from 75.75.76.76: icmp_seq=65 ttl=53 time=51.5 ms
64 bytes from 75.75.76.76: icmp_seq=66 ttl=53 time=51.4 ms
64 bytes from 75.75.76.76: icmp_seq=67 ttl=53 time=47.0 ms
64 bytes from 75.75.76.76: icmp_seq=68 ttl=53 time=44.9 ms
64 bytes from 75.75.76.76: icmp_seq=69 ttl=53 time=76.5 ms
64 bytes from 75.75.76.76: icmp_seq=70 ttl=53 time=62.5 ms
64 bytes from 75.75.76.76: icmp_seq=71 ttl=53 time=66.9 ms
64 bytes from 75.75.76.76: icmp_seq=72 ttl=53 time=48.0 ms
64 bytes from 75.75.76.76: icmp_seq=73 ttl=53 time=57.7 ms
64 bytes from 75.75.76.76: icmp_seq=74 ttl=53 time=77.7 ms
64 bytes from 75.75.76.76: icmp_seq=75 ttl=53 time=63.3 ms
64 bytes from 75.75.76.76: icmp_seq=76 ttl=53 time=52.8 ms
64 bytes from 75.75.76.76: icmp_seq=77 ttl=53 time=61.5 ms
64 bytes from 75.75.76.76: icmp_seq=78 ttl=53 time=58.4 ms
64 bytes from 75.75.76.76: icmp_seq=79 ttl=53 time=63.0 ms
64 bytes from 75.75.76.76: icmp_seq=80 ttl=53 time=56.5 ms
64 bytes from 75.75.76.76: icmp_seq=81 ttl=53 time=77.0 ms
64 bytes from 75.75.76.76: icmp_seq=82 ttl=53 time=53.2 ms
64 bytes from 75.75.76.76: icmp_seq=83 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=84 ttl=53 time=50.0 ms
64 bytes from 75.75.76.76: icmp_seq=85 ttl=53 time=213 ms
64 bytes from 75.75.76.76: icmp_seq=86 ttl=53 time=97.6 ms
64 bytes from 75.75.76.76: icmp_seq=87 ttl=53 time=71.6 ms
64 bytes from 75.75.76.76: icmp_seq=88 ttl=53 time=63.3 ms
64 bytes from 75.75.76.76: icmp_seq=89 ttl=53 time=51.4 ms
64 bytes from 75.75.76.76: icmp_seq=90 ttl=53 time=69.0 ms
64 bytes from 75.75.76.76: icmp_seq=91 ttl=53 time=47.9 ms
64 bytes from 75.75.76.76: icmp_seq=92 ttl=53 time=48.4 ms
64 bytes from 75.75.76.76: icmp_seq=93 ttl=53 time=50.4 ms
