PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=56 time=231 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=56 time=187 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=56 time=79.1 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=56 time=54.4 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=56 time=29.9 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=56 time=87.8 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=56 time=133 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=56 time=60.5 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=56 time=75.3 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=56 time=21.9 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=56 time=14.0 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=56 time=86.9 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=56 time=60.6 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=56 time=46.1 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=56 time=21.9 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=56 time=24.1 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=56 time=315 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=56 time=339 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=56 time=60.4 ms
64 bytes from 1.1.1.1: icmp_seq=21 ttl=56 time=83.2 ms
64 bytes from 1.1.1.1: icmp_seq=22 ttl=56 time=201 ms
64 bytes from 1.1.1.1: icmp_seq=23 ttl=56 time=29.9 ms
64 bytes from 1.1.1.1: icmp_seq=24 ttl=56 time=22.9 ms
64 bytes from 1.1.1.1: icmp_seq=25 ttl=56 time=476 ms
64 bytes from 1.1.1.1: icmp_seq=26 ttl=56 time=15.3 ms
64 bytes from 1.1.1.1: icmp_seq=27 ttl=56 time=29.9 ms
64 bytes from 1.1.1.1: icmp_seq=28 ttl=56 time=24.8 ms
64 bytes from 1.1.1.1: icmp_seq=29 ttl=56 time=84.7 ms
64 bytes from 1.1.1.1: icmp_seq=30 ttl=56 time=15.1 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=56 time=83.6 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=56 time=76.3 ms
64 bytes from 1.1.1.1: icmp_seq=33 ttl=56 time=24.1 ms
64 bytes from 1.1.1.1: icmp_seq=34 ttl=56 time=32.6 ms
64 bytes from 1.1.1.1: icmp_seq=35 ttl=56 time=61.9 ms
64 bytes from 1.1.1.1: icmp_seq=36 ttl=56 time=18.9 ms
64 bytes from 1.1.1.1: icmp_seq=37 ttl=56 time=60.1 ms
64 bytes from 1.1.1.1: icmp_seq=38 ttl=56 time=357 ms
64 bytes from 1.1.1.1: icmp_seq=39 ttl=56 time=58.6 ms
64 bytes from 1.1.1.1: icmp_seq=40 ttl=56 time=403 ms
64 bytes from 1.1.1.1: icmp_seq=41 ttl=56 time=222 ms
64 bytes from 1.1.1.1: icmp_seq=42 ttl=56 time=125 ms
64 bytes from 1.1.1.1: icmp_seq=43 ttl=56 time=35.5 ms
64 bytes from 1.1.1.1: icmp_seq=44 ttl=56 time=44.1 ms
64 bytes from 1.1.1.1: icmp_seq=45 ttl=56 time=52.5 ms
64 bytes from 1.1.1.1: icmp_seq=46 ttl=56 time=20.0 ms
64 bytes from 1.1.1.1: icmp_seq=47 ttl=56 time=356 ms
64 bytes from 1.1.1.1: icmp_seq=48 ttl=56 time=32.7 ms
64 bytes from 1.1.1.1: icmp_seq=49 ttl=56 time=26.3 ms
64 bytes from 1.1.1.1: icmp_seq=50 ttl=56 time=116 ms
64 bytes from 1.1.1.1: icmp_seq=51 ttl=56 time=98.2 ms
64 bytes from 1.1.1.1: icmp_seq=52 ttl=56 time=88.0 ms
64 bytes from 1.1.1.1: icmp_seq=53 ttl=56 time=87.1 ms
64 bytes from 1.1.1.1: icmp_seq=54 ttl=56 time=206 ms
64 bytes from 1.1.1.1: icmp_seq=55 ttl=56 time=76.8 ms
64 bytes from 1.1.1.1: icmp_seq=56 ttl=56 time=27.1 ms
64 bytes from 1.1.1.1: icmp_seq=57 ttl=56 time=187 ms
64 bytes from 1.1.1.1: icmp_seq=58 ttl=56 time=44.9 ms
64 bytes from 1.1.1.1: icmp_seq=59 ttl=56 time=219 ms
64 bytes from 1.1.1.1: icmp_seq=60 ttl=56 time=244 ms
64 bytes from 1.1.1.1: icmp_seq=61 ttl=56 time=50.6 ms
64 bytes from 1.1.1.1: icmp_seq=62 ttl=56 time=51.8 ms
64 bytes from 1.1.1.1: icmp_seq=63 ttl=56 time=106 ms
64 bytes from 1.1.1.1: icmp_seq=64 ttl=56 time=129 ms
64 bytes from 1.1.1.1: icmp_seq=65 ttl=56 time=17.0 ms
64 bytes from 1.1.1.1: icmp_seq=66 ttl=56 time=61.6 ms
64 bytes from 1.1.1.1: icmp_seq=67 ttl=56 time=26.7 ms
64 bytes from 1.1.1.1: icmp_seq=68 ttl=56 time=222 ms
64 bytes from 1.1.1.1: icmp_seq=69 ttl=56 time=32.1 ms
64 bytes from 1.1.1.1: icmp_seq=70 ttl=56 time=26.1 ms
64 bytes from 1.1.1.1: icmp_seq=71 ttl=56 time=41.5 ms
64 bytes from 1.1.1.1: icmp_seq=72 ttl=56 time=16.7 ms
64 bytes from 1.1.1.1: icmp_seq=73 ttl=56 time=93.5 ms
64 bytes from 1.1.1.1: icmp_seq=74 ttl=56 time=166 ms
64 bytes from 1.1.1.1: icmp_seq=75 ttl=56 time=110 ms
64 bytes from 1.1.1.1: icmp_seq=76 ttl=56 time=15.1 ms
64 bytes from 1.1.1.1: icmp_seq=77 ttl=56 time=30.1 ms
64 bytes from 1.1.1.1: icmp_seq=78 ttl=56 time=58.2 ms
64 bytes from 1.1.1.1: icmp_seq=79 ttl=56 time=17.4 ms
64 bytes from 1.1.1.1: icmp_seq=80 ttl=56 time=17.0 ms
64 bytes from 1.1.1.1: icmp_seq=81 ttl=56 time=29.2 ms
64 bytes from 1.1.1.1: icmp_seq=82 ttl=56 time=50.4 ms
64 bytes from 1.1.1.1: icmp_seq=83 ttl=56 time=160 ms
64 bytes from 1.1.1.1: icmp_seq=84 ttl=56 time=185 ms
64 bytes from 1.1.1.1: icmp_seq=85 ttl=56 time=80.5 ms
64 bytes from 1.1.1.1: icmp_seq=86 ttl=56 time=31.3 ms
64 bytes from 1.1.1.1: icmp_seq=87 ttl=56 time=25.7 ms
64 bytes from 1.1.1.1: icmp_seq=88 ttl=56 time=67.7 ms
64 bytes from 1.1.1.1: icmp_seq=89 ttl=56 time=503 ms
64 bytes from 1.1.1.1: icmp_seq=90 ttl=56 time=322 ms
64 bytes from 1.1.1.1: icmp_seq=91 ttl=56 time=136 ms
64 bytes from 1.1.1.1: icmp_seq=92 ttl=56 time=370 ms
64 bytes from 1.1.1.1: icmp_seq=93 ttl=56 time=189 ms
64 bytes from 1.1.1.1: icmp_seq=94 ttl=56 time=64.4 ms
64 bytes from 1.1.1.1: icmp_seq=95 ttl=56 time=42.7 ms
64 bytes from 1.1.1.1: icmp_seq=96 ttl=56 time=59.7 ms
64 bytes from 1.1.1.1: icmp_seq=97 ttl=56 time=51.5 ms
64 bytes from 1.1.1.1: icmp_seq=98 ttl=56 time=201 ms
64 bytes from 1.1.1.1: icmp_seq=99 ttl=56 time=122 ms
64 bytes from 1.1.1.1: icmp_seq=100 ttl=56 time=52.6 ms
