PING 8.8.4.4 (8.8.4.4) 56(84) bytes of data.
64 bytes from 8.8.4.4: icmp_seq=1 ttl=120 time=599 ms
64 bytes from 8.8.4.4: icmp_seq=2 ttl=120 time=419 ms
64 bytes from 8.8.4.4: icmp_seq=3 ttl=120 time=20.3 ms
64 bytes from 8.8.4.4: icmp_seq=4 ttl=120 time=95.4 ms
64 bytes from 8.8.4.4: icmp_seq=5 ttl=120 time=99.2 ms
64 bytes from 8.8.4.4: icmp_seq=6 ttl=120 time=43.0 ms
64 bytes from 8.8.4.4: icmp_seq=7 ttl=120 time=32.7 ms
64 bytes from 8.8.4.4: icmp_seq=8 ttl=120 time=23.6 ms
64 bytes from 8.8.4.4: icmp_seq=9 ttl=120 time=64.2 ms
64 bytes from 8.8.4.4: icmp_seq=10 ttl=120 time=23.7 ms
64 bytes from 8.8.4.4: icmp_seq=11 ttl=120 time=87.6 ms
64 bytes from 8.8.4.4: icmp_seq=12 ttl=120 time=30.0 ms
64 bytes from 8.8.4.4: icmp_seq=13 ttl=120 time=153 ms
64 bytes from 8.8.4.4: icmp_seq=14 ttl=120 time=16.3 ms
64 bytes from 8.8.4.4: icmp_seq=15 ttl=120 time=25.0 ms
64 bytes from 8.8.4.4: icmp_seq=16 ttl=120 time=23.8 ms
64 bytes from 8.8.4.4: icmp_seq=17 ttl=120 time=117 ms
64 bytes from 8.8.4.4: icmp_seq=18 ttl=120 time=22.4 ms
64 bytes from 8.8.4.4: icmp_seq=19 ttl=120 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=20 ttl=120 time=117 ms
64 bytes from 8.8.4.4: icmp_seq=21 ttl=120 time=25.4 ms
64 bytes from 8.8.4.4: icmp_seq=22 ttl=120 time=35.8 ms
64 bytes from 8.8.4.4: icmp_seq=23 ttl=120 time=36.6 ms
64 bytes from 8.8.4.4: icmp_seq=24 ttl=120 time=97.1 ms
64 bytes from 8.8.4.4: icmp_seq=25 ttl=120 time=577 ms
64 bytes from 8.8.4.4: icmp_seq=26 ttl=120 time=29.2 ms
64 bytes from 8.8.4.4: icmp_seq=27 ttl=120 time=161 ms
64 bytes from 8.8.4.4: icmp_seq=28 ttl=120 time=183 ms
64 bytes from 8.8.4.4: icmp_seq=29 ttl=120 time=42.9 ms
64 bytes from 8.8.4.4: icmp_seq=30 ttl=120 time=438 ms
64 bytes from 8.8.4.4: icmp_seq=31 ttl=120 time=354 ms
64 bytes from 8.8.4.4: icmp_seq=32 ttl=120 time=173 ms
64 bytes from 8.8.4.4: icmp_seq=33 ttl=120 time=195 ms
64 bytes from 8.8.4.4: icmp_seq=34 ttl=120 time=34.9 ms
64 bytes from 8.8.4.4: icmp_seq=35 ttl=120 time=342 ms
64 bytes from 8.8.4.4: icmp_seq=36 ttl=120 time=19.1 ms
64 bytes from 8.8.4.4: icmp_seq=37 ttl=120 time=35.8 ms
64 bytes from 8.8.4.4: icmp_seq=38 ttl=120 time=87.9 ms
64 bytes from 8.8.4.4: icmp_seq=39 ttl=120 time=433 ms
64 bytes from 8.8.4.4: icmp_seq=40 ttl=120 time=457 ms
64 bytes from 8.8.4.4: icmp_seq=41 ttl=120 time=85.1 ms
64 bytes from 8.8.4.4: icmp_seq=42 ttl=120 time=298 ms
64 bytes from 8.8.4.4: icmp_seq=43 ttl=120 time=320 ms
64 bytes from 8.8.4.4: icmp_seq=44 ttl=120 time=343 ms
64 bytes from 8.8.4.4: icmp_seq=45 ttl=120 time=55.3 ms
64 bytes from 8.8.4.4: icmp_seq=46 ttl=120 time=183 ms
64 bytes from 8.8.4.4: icmp_seq=47 ttl=120 time=34.3 ms
64 bytes from 8.8.4.4: icmp_seq=48 ttl=120 time=228 ms
64 bytes from 8.8.4.4: icmp_seq=49 ttl=120 time=21.5 ms
64 bytes from 8.8.4.4: icmp_seq=50 ttl=120 time=33.6 ms
64 bytes from 8.8.4.4: icmp_seq=51 ttl=120 time=294 ms
64 bytes from 8.8.4.4: icmp_seq=52 ttl=120 time=316 ms
64 bytes from 8.8.4.4: icmp_seq=53 ttl=120 time=338 ms
64 bytes from 8.8.4.4: icmp_seq=54 ttl=120 time=20.7 ms
64 bytes from 8.8.4.4: icmp_seq=55 ttl=120 time=69.0 ms
64 bytes from 8.8.4.4: icmp_seq=56 ttl=120 time=34.4 ms
64 bytes from 8.8.4.4: icmp_seq=57 ttl=120 time=31.5 ms
64 bytes from 8.8.4.4: icmp_seq=58 ttl=120 time=141 ms
64 bytes from 8.8.4.4: icmp_seq=59 ttl=120 time=304 ms
64 bytes from 8.8.4.4: icmp_seq=60 ttl=120 time=527 ms
64 bytes from 8.8.4.4: icmp_seq=61 ttl=120 time=30.4 ms
64 bytes from 8.8.4.4: icmp_seq=62 ttl=120 time=22.4 ms
64 bytes from 8.8.4.4: icmp_seq=63 ttl=120 time=357 ms
64 bytes from 8.8.4.4: icmp_seq=64 ttl=120 time=52.4 ms
64 bytes from 8.8.4.4: icmp_seq=65 ttl=120 time=197 ms
64 bytes from 8.8.4.4: icmp_seq=66 ttl=120 time=219 ms
64 bytes from 8.8.4.4: icmp_seq=67 ttl=120 time=62.1 ms
64 bytes from 8.8.4.4: icmp_seq=68 ttl=120 time=56.0 ms
64 bytes from 8.8.4.4: icmp_seq=69 ttl=120 time=60.5 ms
64 bytes from 8.8.4.4: icmp_seq=70 ttl=120 time=133 ms
64 bytes from 8.8.4.4: icmp_seq=71 ttl=120 time=331 ms
64 bytes from 8.8.4.4: icmp_seq=72 ttl=120 time=33.5 ms
64 bytes from 8.8.4.4: icmp_seq=73 ttl=120 time=375 ms
64 bytes from 8.8.4.4: icmp_seq=74 ttl=120 time=17.1 ms
64 bytes from 8.8.4.4: icmp_seq=75 ttl=120 time=26.6 ms
64 bytes from 8.8.4.4: icmp_seq=76 ttl=120 time=47.0 ms
64 bytes from 8.8.4.4: icmp_seq=77 ttl=120 time=87.1 ms
64 bytes from 8.8.4.4: icmp_seq=78 ttl=120 time=51.5 ms
64 bytes from 8.8.4.4: icmp_seq=79 ttl=120 time=41.2 ms
64 bytes from 8.8.4.4: icmp_seq=80 ttl=120 time=122 ms
64 bytes from 8.8.4.4: icmp_seq=81 ttl=120 time=146 ms
64 bytes from 8.8.4.4: icmp_seq=82 ttl=120 time=31.0 ms
64 bytes from 8.8.4.4: icmp_seq=83 ttl=120 time=396 ms
64 bytes from 8.8.4.4: icmp_seq=84 ttl=120 time=215 ms
64 bytes from 8.8.4.4: icmp_seq=85 ttl=120 time=163 ms
64 bytes from 8.8.4.4: icmp_seq=86 ttl=120 time=62.4 ms
64 bytes from 8.8.4.4: icmp_seq=87 ttl=120 time=486 ms
64 bytes from 8.8.4.4: icmp_seq=88 ttl=120 time=283 ms
64 bytes from 8.8.4.4: icmp_seq=89 ttl=120 time=28.0 ms
64 bytes from 8.8.4.4: icmp_seq=90 ttl=120 time=145 ms
64 bytes from 8.8.4.4: icmp_seq=91 ttl=120 time=30.7 ms
64 bytes from 8.8.4.4: icmp_seq=92 ttl=120 time=38.6 ms
64 bytes from 8.8.4.4: icmp_seq=93 ttl=120 time=212 ms
64 bytes from 8.8.4.4: icmp_seq=94 ttl=120 time=439 ms
64 bytes from 8.8.4.4: icmp_seq=95 ttl=120 time=259 ms
64 bytes from 8.8.4.4: icmp_seq=96 ttl=120 time=44.7 ms
64 bytes from 8.8.4.4: icmp_seq=97 ttl=120 time=38.9 ms
64 bytes from 8.8.4.4: icmp_seq=98 ttl=120 time=34.7 ms
64 bytes from 8.8.4.4: icmp_seq=99 ttl=120 time=39.9 ms
64 bytes from 8.8.4.4: icmp_seq=100 ttl=120 time=164 ms
