PING 149.112.112.112 (149.112.112.112) 56(84) bytes of data.
64 bytes from 149.112.112.112: icmp_seq=1 ttl=56 time=16.5 ms
64 bytes from 149.112.112.112: icmp_seq=2 ttl=56 time=27.8 ms
64 bytes from 149.112.112.112: icmp_seq=3 ttl=56 time=20.2 ms
64 bytes from 149.112.112.112: icmp_seq=4 ttl=56 time=23.1 ms
64 bytes from 149.112.112.112: icmp_seq=5 ttl=56 time=18.2 ms
64 bytes from 149.112.112.112: icmp_seq=6 ttl=56 time=20.9 ms
64 bytes from 149.112.112.112: icmp_seq=7 ttl=56 time=16.0 ms
64 bytes from 149.112.112.112: icmp_seq=8 ttl=56 time=19.0 ms
64 bytes from 149.112.112.112: icmp_seq=9 ttl=56 time=18.7 ms
64 bytes from 149.112.112.112: icmp_seq=10 ttl=56 time=18.0 ms
64 bytes from 149.112.112.112: icmp_seq=11 ttl=56 time=29.9 ms
64 bytes from 149.112.112.112: icmp_seq=12 ttl=56 time=46.3 ms
64 bytes from 149.112.112.112: icmp_seq=13 ttl=56 time=44.7 ms
64 bytes from 149.112.112.112: icmp_seq=14 ttl=56 time=24.1 ms
64 bytes from 149.112.112.112: icmp_seq=15 ttl=56 time=19.8 ms
64 bytes from 149.112.112.112: icmp_seq=16 ttl=56 time=40.8 ms
64 bytes from 149.112.112.112: icmp_seq=17 ttl=56 time=19.4 ms
64 bytes from 149.112.112.112: icmp_seq=18 ttl=56 time=36.6 ms
64 bytes from 149.112.112.112: icmp_seq=19 ttl=56 time=31.9 ms
64 bytes from 149.112.112.112: icmp_seq=20 ttl=56 time=32.9 ms
64 bytes from 149.112.112.112: icmp_seq=21 ttl=56 time=28.6 ms
64 bytes from 149.112.112.112: icmp_seq=22 ttl=56 time=25.2 ms
64 bytes from 149.112.112.112: icmp_seq=23 ttl=56 time=18.9 ms
64 bytes from 149.112.112.112: icmp_seq=24 ttl=56 time=27.2 ms
64 bytes from 149.112.112.112: icmp_seq=25 ttl=56 time=23.2 ms
64 bytes from 149.112.112.112: icmp_seq=26 ttl=56 time=22.7 ms
64 bytes from 149.112.112.112: icmp_seq=27 ttl=56 time=22.9 ms
64 bytes from 149.112.112.112: icmp_seq=28 ttl=56 time=16.5 ms
64 bytes from 149.112.112.112: icmp_seq=29 ttl=56 time=14.5 ms
64 bytes from 149.112.112.112: icmp_seq=30 ttl=56 time=19.0 ms
64 bytes from 149.112.112.112: icmp_seq=31 ttl=56 time=37.8 ms
64 bytes from 149.112.112.112: icmp_seq=32 ttl=56 time=43.0 ms
64 bytes from 149.112.112.112: icmp_seq=33 ttl=56 time=30.9 ms
64 bytes from 149.112.112.112: icmp_seq=34 ttl=56 time=34.3 ms
64 bytes from 149.112.112.112: icmp_seq=35 ttl=56 time=38.3 ms
64 bytes from 149.112.112.112: icmp_seq=36 ttl=56 time=35.9 ms
64 bytes from 149.112.112.112: icmp_seq=37 ttl=56 time=20.6 ms
64 bytes from 149.112.112.112: icmp_seq=38 ttl=56 time=34.5 ms
64 bytes from 149.112.112.112: icmp_seq=39 ttl=56 time=32.3 ms
64 bytes from 149.112.112.112: icmp_seq=40 ttl=56 time=24.0 ms
64 bytes from 149.112.112.112: icmp_seq=41 ttl=56 time=16.4 ms
64 bytes from 149.112.112.112: icmp_seq=42 ttl=56 time=26.2 ms
64 bytes from 149.112.112.112: icmp_seq=43 ttl=56 time=19.5 ms
64 bytes from 149.112.112.112: icmp_seq=44 ttl=56 time=23.5 ms
64 bytes from 149.112.112.112: icmp_seq=45 ttl=56 time=22.9 ms
64 bytes from 149.112.112.112: icmp_seq=46 ttl=56 time=17.4 ms
64 bytes from 149.112.112.112: icmp_seq=47 ttl=56 time=16.0 ms
64 bytes from 149.112.112.112: icmp_seq=48 ttl=56 time=17.3 ms
64 bytes from 149.112.112.112: icmp_seq=49 ttl=56 time=37.6 ms
64 bytes from 149.112.112.112: icmp_seq=50 ttl=56 time=28.2 ms
64 bytes from 149.112.112.112: icmp_seq=51 ttl=56 time=20.7 ms
64 bytes from 149.112.112.112: icmp_seq=52 ttl=56 time=42.4 ms
